country,year,labour_participation_rate,birth_rate,fertility_rate,mean_age_bearing,housing_value,total_deaths,death_rate,life_expectancy,total_pop,male_pop,female_pop,pop_density,median_age,pop_growth_rate,gender_wage_gap_perc,average_wage_rate,internet_access_perc,education_rate,crude_marriage_rate,crude_divorce_rate,suicide_rate,time
Czechia,2008,49.53181601,119,1.51,29.3,100.8,105,10.1,77.2,10379,5084,5295,134.4,38.3,0.42,17.87301988,24165.34644,45.8625,14.498895,5.1,3.0,13.0,3
Czechia,2009,49.64298182,118,1.51,29.4,96.925,107,10.3,77.3,10422,5109,5313,135.0,38.5,0.4,15.10501797,24068.57889,54.1836,15.544437,4.6,2.8,13.6,4
Czechia,2010,49.72974568,116,1.51,29.6,95.225,107,10.2,77.6,10465,5134,5330,135.5,38.7,0.43,15.79850307,24808.31447,60.5179,16.764982,4.5,2.9,13.9,5
Czechia,2011,50.5676819,109,1.43,29.7,95.25,107,10.2,77.8,10496,5153,5344,136.0,38.9,0.18,16.3296567,25010.46422,66.6342,18.243177,4.3,2.7,14.7,6
Czechia,2012,52.43016962,108,1.45,29.7,93.85,108,10.3,78.0,10511,5161,5350,136.1,39.2,0.1,15.26297988,25056.26199,72.5515,19.277992,4.3,2.5,15.2,7
Czechia,2013,54.81193563,107,1.46,29.8,93.875,109,10.4,78.2,10515,5163,5351,136.2,39.6,-0.04,15.37883532,24900.04816,72.6166,20.45986,4.1,2.7,14.5,8
Czechia,2014,56.81151798,109,1.53,29.9,96.175,106,10.0,78.8,10517,5166,5351,136.2,40.0,0.09,16.2545602,25425.17452,77.9899,21.51013,4.3,2.5,13.7,9
Czechia,2015,57.99234041,110,1.57,30.0,100.0,111,10.6,78.6,10524,5172,5352,136.3,40.3,0.04,16.45515416,26172.85816,78.9753,22.186741,4.6,2.5,12.6,10
Czechia,2016,60.84263076,112,1.63,30.0,107.15,108,10.2,79.0,10528,5177,5351,136.4,40.7,0.03,16.02343084,27097.1678,81.65,22.971544,4.8,2.4,12.0,11
Czechia,2017,63.64436101,113,1.68,30.0,119.7,111,10.6,79.0,10531,5181,5350,136.4,41.1,0.04,15.61401089,28482.1251,83.2351,23.927534,5.0,2.4,12.8,12
Czechia,2018,66.45124513,112,1.71,30.1,130.0,113,10.7,79.0,10535,5186,5349,136.5,41.5,0.02,15.12741386,29990.70069,86.3574,24.262077,5.1,2.3,12.3,13
Czechia,2019,68.02811215,110,1.71,30.1,141.9,112,10.6,79.2,10537,5189,5348,136.5,41.9,0.02,14.71433226,31236.45301,86.9996,24.212393,5.1,2.3,10.7,14
Czechia,2020,69.57941414,107,1.71,30.1,153.85,125,11.8,78.6,10531,5187,5343,136.4,42.2,-0.13,12.37286209,30912.16252,88.0204,24.853664,4.2,2.0,10.9,15
Denmark,2005,68.13505182,65,1.8,30.2,82.97095743,55,10.1,78.2,5436,2691,2745,128.2,38.5,0.39,10.16733044,52618.29495,74.9174,33.544121,6.7,2.8,11.8,0
Denmark,2006,69.93817452,65,1.84,30.3,102.9257573,56,10.2,78.2,5458,2702,2755,128.7,38.8,0.4,10.17206126,53504.7617,78.7298,34.719662,6.7,2.6,12.0,1
Denmark,2007,70.61130167,64,1.85,30.4,105.6767642,56,10.2,78.3,5480,2714,2766,129.3,39.0,0.4,9.850297951,54101.2627,78.0544,30.903458,6.7,2.6,10.6,2
Denmark,2008,69.07894299,65,1.88,30.4,100.2002505,55,10.0,78.7,5503,2726,2776,129.8,39.2,0.44,10.18354903,54817.45942,81.8811,31.126369,6.8,2.7,11.0,3
Denmark,2009,67.85699022,63,1.84,30.5,88.19722049,55,10.0,79.0,5526,2739,2788,130.4,39.4,0.42,10.17200506,56145.47174,82.534,32.001427,6.0,2.7,11.2,4
